DEPTH (FT)	CALI (IN)	GR (GAPI)	NPHISS	RHOB (G/C3)	RILD (OHMM)	SP (MV)	RFOC (OHMM)
10033.75	11.128	91.359	0.382	2.336	0.765	-10.68	0.807
10034	11.183	91	0.379	2.337	0.77	-11.303	0.81
10034.25	11.242	90.879	0.376	2.337	0.774	-11.937	0.809
10034.5	11.307	90.93	0.373	2.336	0.778	-12.536	0.806
10034.75	11.38	91.1	0.371	2.334	0.781	-13.061	0.802
10035	11.458	91.342	0.368	2.333	0.783	-13.495	0.797
10035.25	11.539	91.643	0.366	2.331	0.784	-13.839	0.792
10035.5	11.61	91.893	0.365	2.33	0.786	-14.102	0.789
10035.75	11.656	91.905	0.364	2.329	0.787	-14.292	0.786
10036	11.662	91.58	0.364	2.328	0.789	-14.411	0.784
10036.25	11.624	91.018	0.365	2.328	0.79	-14.466	0.782
10036.5	11.552	90.502	0.366	2.328	0.792	-14.479	0.782
10036.75	11.463	90.342	0.366	2.328	0.795	-14.469	0.782
10037	11.377	90.551	0.366	2.329	0.796	-14.447	0.782
10037.25	11.305	90.917	0.365	2.329	0.798	-14.412	0.782
10037.5	11.248	91.148	0.364	2.33	0.798	-14.367	0.782
10037.75	11.196	91.004	0.362	2.331	0.798	-14.321	0.783
10038	11.142	90.609	0.362	2.332	0.797	-14.288	0.785
10038.25	11.089	90.398	0.363	2.332	0.795	-14.274	0.789
10038.5	11.046	90.627	0.365	2.333	0.793	-14.278	0.794
10038.75	11.024	91.19	0.365	2.333	0.791	-14.289	0.798
10039	11.022	91.78	0.365	2.334	0.789	-14.294	0.801
10039.25	11.034	92.123	0.363	2.333	0.787	-14.288	0.802
10039.5	11.05	92.116	0.361	2.333	0.785	-14.287	0.802
10039.75	11.061	91.84	0.359	2.332	0.784	-14.312	0.801
10040	11.066	91.39	0.357	2.331	0.782	-14.37	0.8
10040.25	11.066	90.823	0.355	2.33	0.781	-14.442	0.8
10040.5	11.066	90.241	0.353	2.329	0.779	-14.488	0.8
10040.75	11.066	89.715	0.353	2.327	0.778	-14.467	0.799
10041	11.066	89.384	0.353	2.326	0.776	-14.358	0.797
10041.25	11.063	89.427	0.354	2.325	0.774	-14.175	0.793
10041.5	11.057	89.889	0.356	2.324	0.771	-13.958	0.79
10041.75	11.046	90.58	0.358	2.323	0.769	-13.758	0.787
10042	11.032	91.282	0.36	2.323	0.767	-13.601	0.786
10042.25	11.017	91.847	0.362	2.323	0.765	-13.484	0.786
10042.5	11.003	92.245	0.364	2.323	0.763	-13.376	0.787
10042.75	10.993	92.521	0.367	2.324	0.763	-13.234	0.788
10043	10.988	92.699	0.368	2.325	0.762	-13.029	0.788
10043.25	10.987	92.814	0.37	2.326	0.763	-12.762	0.788
10043.5	10.992	92.989	0.37	2.327	0.763	-12.466	0.788
10043.75	11.007	93.276	0.37	2.328	0.764	-12.194	0.788
10044	11.043	93.686	0.369	2.329	0.764	-11.989	0.788
10044.25	11.105	94.177	0.367	2.329	0.765	-11.869	0.787
10044.5	11.193	94.598	0.365	2.33	0.765	-11.831	0.785
10044.75	11.298	94.768	0.364	2.329	0.765	-11.858	0.782
10045	11.402	94.573	0.363	2.329	0.765	-11.931	0.779
10045.25	11.481	93.983	0.364	2.328	0.765	-12.03	0.776
10045.5	11.512	93.188	0.365	2.326	0.764	-12.132	0.774
10045.75	11.485	92.532	0.367	2.325	0.763	-12.201	0.773
10046	11.405	92.28	0.37	2.323	0.762	-12.205	0.772
10046.25	11.295	92.451	0.373	2.321	0.762	-12.118	0.772
10046.5	11.183	92.898	0.377	2.319	0.761	-11.946	0.771
10046.75	11.093	93.333	0.381	2.317	0.76	-11.722	0.769
10047	11.041	93.401	0.386	2.315	0.759	-11.496	0.767
10047.25	11.021	93.033	0.389	2.314	0.758	-11.302	0.766
10047.5	11.017	92.539	0.39	2.312	0.758	-11.147	0.764
10047.75	11.011	92.271	0.391	2.311	0.758	-11.015	0.763
10048	10.992	92.423	0.39	2.31	0.758	-10.893	0.761
10048.25	10.963	92.889	0.391	2.309	0.759	-10.789	0.759
10048.5	10.935	93.363	0.392	2.308	0.76	-10.716	0.757
10048.75	10.917	93.69	0.394	2.307	0.761	-10.686	0.755
10049	10.913	93.853	0.397	2.307	0.762	-10.695	0.753
10049.25	10.922	94.005	0.4	2.306	0.762	-10.733	0.752
10049.5	10.935	94.321	0.402	2.306	0.763	-10.785	0.752
10049.75	10.943	94.814	0.405	2.306	0.763	-10.833	0.753
10050	10.947	95.264	0.407	2.305	0.763	-10.86	0.755
10050.25	10.95	95.35	0.409	2.305	0.763	-10.848	0.758
10050.5	10.954	94.952	0.411	2.305	0.763	-10.781	0.762
10050.75	10.953	94.2	0.413	2.305	0.763	-10.655	0.764
10051	10.942	93.246	0.415	2.304	0.763	-10.483	0.766
10051.25	10.921	92.251	0.417	2.304	0.764	-10.293	0.766
10051.5	10.898	91.324	0.419	2.304	0.766	-10.118	0.766
10051.75	10.88	90.588	0.422	2.303	0.768	-9.97	0.766
10052	10.874	90.237	0.423	2.303	0.77	-9.84	0.766
10052.25	10.88	90.388	0.425	2.302	0.772	-9.705	0.767
10052.5	10.897	91.114	0.425	2.302	0.773	-9.542	0.769
10052.75	10.918	92.407	0.424	2.302	0.773	-9.335	0.77
10053	10.937	94.114	0.422	2.302	0.773	-9.086	0.769
10053.25	10.955	95.933	0.421	2.303	0.773	-8.814	0.768
10053.5	10.973	97.518	0.42	2.303	0.772	-8.554	0.765
10053.75	10.99	98.591	0.42	2.304	0.771	-8.344	0.764
10054	11.002	99.091	0.419	2.304	0.77	-8.212	0.764
10054.25	11.004	99.073	0.418	2.305	0.769	-8.168	0.767
10054.5	11.001	98.698	0.416	2.306	0.767	-8.197	0.772
10054.75	11.002	98.044	0.414	2.307	0.766	-8.271	0.778
10055	11.02	97.245	0.412	2.307	0.766	-8.359	0.782
10055.25	11.068	96.482	0.411	2.308	0.765	-8.443	0.783
10055.5	11.156	95.842	0.41	2.309	0.766	-8.52	0.781
10055.75	11.281	95.275	0.409	2.31	0.766	-8.593	0.776
10056	11.427	94.823	0.407	2.31	0.766	-8.657	0.771
10056.25	11.564	94.574	0.405	2.311	0.766	-8.701	0.766
