DEPTH (FT)	CALI (IN)	GR (GAPI)	NPHISS	RHOB (G/C3)	RILD (OHMM)	SP (MV)	RFOC (OHMM)
10204.25	10.31	59.539	0.323	2.092	4.102	-64.016	4.931
10204.5	10.309	60.405	0.329	2.104	3.77	-62.469	3.922
10204.75	10.31	61.057	0.336	2.118	3.5	-60.66	3.077
10205	10.313	61.516	0.344	2.132	3.28	-58.694	2.492
10205.25	10.316	61.835	0.35	2.144	3.101	-56.7	2.125
10205.5	10.32	62.112	0.355	2.156	2.953	-54.779	1.913
10205.75	10.324	62.449	0.359	2.164	2.825	-52.974	1.804
10206	10.328	62.962	0.361	2.171	2.707	-51.294	1.76
10206.25	10.332	63.739	0.361	2.174	2.588	-49.807	1.754
10206.5	10.336	64.804	0.361	2.176	2.466	-48.682	1.765
10206.75	10.337	66.069	0.362	2.173	2.345	-48.105	1.784
10207	10.334	67.336	0.363	2.171	2.233	-48.133	1.806
10207.25	10.328	68.368	0.365	2.166	2.14	-48.588	1.824
10207.5	10.317	69.024	0.367	2.161	2.07	-49.028	1.83
10207.75	10.304	69.289	0.371	2.155	2.024	-48.905	1.813
10208	10.29	69.279	0.375	2.15	1.998	-47.848	1.772
10208.25	10.278	69.073	0.38	2.145	1.982	-45.904	1.72
10208.5	10.271	68.851	0.384	2.14	1.965	-43.568	1.675
10208.75	10.27	68.836	0.388	2.136	1.939	-41.596	1.654
10209	10.274	69.109	0.391	2.133	1.897	-40.64	1.665
10209.25	10.283	69.492	0.39	2.131	1.839	-40.969	1.705
10209.5	10.295	69.651	0.388	2.129	1.768	-42.397	1.762
10209.75	10.31	69.329	0.384	2.13	1.692	-44.404	1.814
10210	10.327	68.576	0.381	2.131	1.615	-46.361	1.838
10210.25	10.346	67.683	0.38	2.134	1.542	-47.765	1.82
10210.5	10.366	67.04	0.382	2.137	1.475	-48.371	1.76
10210.75	10.386	66.908	0.385	2.143	1.415	-48.163	1.675
10211	10.404	67.324	0.388	2.148	1.361	-47.283	1.581
10211.25	10.418	68.102	0.391	2.153	1.314	-45.936	1.491
10211.5	10.426	68.909	0.392	2.158	1.272	-44.294	1.413
10211.75	10.428	69.593	0.392	2.162	1.236	-42.475	1.347
10212	10.423	70.259	0.391	2.166	1.207	-40.601	1.294
10212.25	10.41	71.082	0.391	2.166	1.182	-38.863	1.255
10212.5	10.392	72.11	0.39	2.166	1.163	-37.516	1.235
10212.75	10.372	73.167	0.386	2.164	1.147	-36.842	1.245
10213	10.354	73.891	0.377	2.161	1.135	-37.096	1.296
10213.25	10.34	73.886	0.365	2.156	1.126	-38.409	1.397
10213.5	10.332	72.904	0.359	2.152	1.124	-40.729	1.549
10213.75	10.327	71.008	0.357	2.147	1.13	-43.816	1.736
10214	10.324	68.479	0.356	2.143	1.145	-47.308	1.905
10214.25	10.32	65.781	0.353	2.14	1.171	-50.802	1.984
10214.5	10.315	63.393	0.347	2.138	1.205	-53.914	1.942
10214.75	10.309	61.597	0.339	2.137	1.246	-56.323	1.822
10215	10.303	60.504	0.332	2.136	1.286	-57.862	1.691
10215.25	10.298	60.096	0.326	2.137	1.319	-58.606	1.593
10215.5	10.296	60.291	0.323	2.138	1.335	-58.851	1.546
10215.75	10.295	60.997	0.323	2.14	1.326	-58.955	1.547
10216	10.296	62.103	0.325	2.142	1.29	-59.174	1.586
10216.25	10.297	63.406	0.328	2.146	1.232	-59.535	1.642
10216.5	10.298	64.548	0.333	2.15	1.161	-59.796	1.687
10216.75	10.298	65.209	0.337	2.156	1.086	-59.515	1.691
10217	10.296	65.427	0.341	2.163	1.014	-58.228	1.641
10217.25	10.29	65.484	0.345	2.171	0.948	-55.655	1.547
10217.5	10.282	65.808	0.347	2.18	0.889	-51.845	1.432
10217.75	10.273	66.793	0.348	2.191	0.835	-47.157	1.319
10218	10.264	68.648	0.348	2.202	0.787	-42.134	1.219
10218.25	10.256	71.316	0.348	2.213	0.742	-37.338	1.138
10218.5	10.252	74.456	0.349	2.223	0.702	-33.234	1.075
10218.75	10.253	77.468	0.35	2.232	0.666	-30.091	1.03
10219	10.259	79.801	0.351	2.241	0.637	-27.93	1
10219.25	10.27	81.168	0.351	2.246	0.613	-26.573	0.981
10219.5	10.284	81.56	0.351	2.251	0.596	-25.74	0.97
10219.75	10.3	81.158	0.35	2.252	0.585	-25.191	0.962
10220	10.315	80.468	0.35	2.252	0.581	-24.82	0.955
10220.25	10.327	80.124	0.35	2.249	0.582	-24.651	0.948
10220.5	10.334	80.475	0.351	2.245	0.589	-24.744	0.943
10220.75	10.337	81.368	0.354	2.239	0.601	-25.085	0.94
10221	10.339	82.27	0.357	2.232	0.616	-25.549	0.94
10221.25	10.34	82.644	0.361	2.224	0.635	-25.952	0.939
10221.5	10.341	82.234	0.361	2.216	0.655	-26.233	0.934
10221.75	10.343	81.149	0.358	2.208	0.676	-26.606	0.926
10222	10.344	79.643	0.352	2.2	0.695	-27.522	0.92
10222.25	10.344	77.999	0.345	2.194	0.713	-29.444	0.925
10222.5	10.343	76.4	0.343	2.188	0.728	-32.55	0.949
10222.75	10.34	74.94	0.344	2.186	0.741	-36.52	0.994
10223	10.337	73.668	0.346	2.184	0.753	-40.58	1.053
10223.25	10.335	72.669	0.346	2.186	0.765	-43.83	1.111
10223.5	10.334	72.033	0.345	2.187	0.778	-45.651	1.144
10223.75	10.335	71.762	0.343	2.191	0.791	-45.991	1.134
10224	10.338	71.687	0.34	2.195	0.805	-45.349	1.087
10224.25	10.344	71.604	0.335	2.198	0.817	-44.493	1.024
10224.5	10.351	71.323	0.329	2.202	0.826	-44.092	0.966
10224.75	10.355	70.785	0.322	2.203	0.831	-44.452	0.923
10225	10.355	70.04	0.315	2.203	0.831	-45.469	0.899
10225.25	10.346	69.188	0.31	2.2	0.829	-46.766	0.889
10225.5	10.328	68.308	0.308	2.197	0.824	-47.92	0.888
10225.75	10.302	67.449	0.309	2.19	0.819	-48.664	0.888
10226	10.274	66.704	0.315	2.184	0.815	-48.962	0.886
10226.25	10.247	66.138	0.325	2.176	0.813	-48.965	0.883
10226.5	10.226	65.798	0.335	2.169	0.812	-48.908	0.884
10226.75	10.21	65.674	0.343	2.163	0.814	-49.031	0.893
10227	10.198	65.671	0.349	2.158	0.818	-49.522	0.912
10227.25	10.189	65.637	0.353	2.156	0.824	-50.452	0.938
10227.5	10.181	65.314	0.355	2.153	0.83	-51.754	0.964
10227.75	10.176	64.573	0.357	2.155	0.837	-53.261	0.982
10228	10.178	63.546	0.356	2.156	0.843	-54.793	0.986
10228.25	10.19	62.482	0.353	2.161	0.847	-56.221	0.978
10228.5	10.214	61.71	0.349	2.165	0.848	-57.476	0.964
10228.75	10.247	61.462	0.344	2.17	0.846	-58.515	0.952
10229	10.284	61.743	0.339	2.176	0.839	-59.296	0.946
10229.25	10.32	62.296	0.335	2.18	0.826	-59.792	0.943
10229.5	10.347	62.744	0.332	2.184	0.808	-59.993	0.942
10229.75	10.364	62.833	0.332	2.185	0.784	-59.888	0.939
10230	10.37	62.665	0.335	2.187	0.756	-59.47	0.933
10230.25	10.369	62.643	0.343	2.185	0.725	-58.703	0.925
10230.5	10.367	63.155	0.354	2.184	0.693	-57.461	0.915
10230.75	10.371	64.284	0.365	2.182	0.663	-55.477	0.905
10231	10.385	65.876	0.371	2.179	0.636	-52.431	0.892
10231.25	10.411	67.622	0.371	2.178	0.613	-48.139	0.874
10231.5	10.446	69.214	0.368	2.177	0.595	-42.704	0.85
10231.75	10.488	70.399	0.365	2.179	0.583	-36.555	0.819
10232	10.532	71.116	0.364	2.181	0.575	-30.337	0.784
10232.25	10.578	71.519	0.364	2.186	0.572	-24.696	0.746
10232.5	10.628	71.888	0.364	2.19	0.572	-20.079	0.712
10232.75	10.685	72.425	0.362	2.197	0.574	-16.625	0.683
10233	10.746	73.169	0.36	2.204	0.575	-14.198	0.664
10233.25	10.808	74.114	0.358	2.212	0.576	-12.537	0.655
10233.5	10.865	75.23	0.357	2.22	0.575	-11.429	0.657
10233.75	10.91	76.371	0.357	2.226	0.573	-10.791	0.668
10234	10.938	77.317	0.357	2.233	0.57	-10.604	0.686
10234.25	10.943	77.903	0.357	2.238	0.566	-10.819	0.706
10234.5	10.921	78.101	0.356	2.243	0.563	-11.332	0.721
10234.75	10.874	78.021	0.354	2.245	0.56	-12.034	0.728
10235	10.809	77.757	0.352	2.248	0.557	-12.922	0.725
10235.25	10.735	77.308	0.352	2.25	0.555	-14.16	0.718
10235.5	10.664	76.639	0.354	2.251	0.552	-15.998	0.713
10235.75	10.602	75.769	0.356	2.252	0.548	-18.554	0.714
10236	10.547	74.816	0.36	2.252	0.542	-21.636	0.722
10236.25	10.492	73.956	0.364	2.252	0.535	-24.739	0.734
10236.5	10.432	73.485	0.368	2.251	0.525	-27.187	0.744
10236.75	10.366	73.672	0.371	2.251	0.513	-28.356	0.746
10237	10.302	74.623	0.375	2.251	0.502	-27.892	0.734
10237.25	10.25	76.23	0.379	2.251	0.491	-25.797	0.71
10237.5	10.215	78.256	0.385	2.251	0.481	-22.41	0.678
10237.75	10.196	80.398	0.392	2.252	0.472	-18.277	0.644
10238	10.187	82.503	0.401	2.253	0.466	-13.996	0.613
10238.25	10.182	84.521	0.408	2.255	0.461	-10.1	0.589
10238.5	10.177	86.446	0.414	2.257	0.458	-6.981	0.572
10238.75	10.171	88.191	0.419	2.259	0.456	-4.808	0.563
10239	10.166	89.646	0.421	2.262	0.456	-3.499	0.559
10239.25	10.163	90.754	0.423	2.264	0.457	-2.808	0.56
10239.5	10.162	91.54	0.424	2.267	0.459	-2.479	0.565
10239.75	10.162	92.071	0.424	2.269	0.461	-2.333	0.572
10240	10.164	92.496	0.426	2.271	0.464	-2.267	0.58
10240.25	10.165	93.071	0.429	2.272	0.468	-2.234	0.588
10240.5	10.164	93.871	0.433	2.272	0.472	-2.227	0.595
10240.75	10.164	94.723	0.437	2.273	0.477	-2.253	0.599
10241	10.162	95.45	0.441	2.273	0.482	-2.315	0.602
10241.25	10.16	95.872	0.442	2.273	0.488	-2.4	0.604
10241.5	10.159	95.87	0.443	2.272	0.493	-2.484	0.606
10241.75	10.157	95.43	0.442	2.272	0.498	-2.534	0.609
10242	10.157	94.744	0.44	2.272	0.502	-2.508	0.614
10242.25	10.157	94.116	0.439	2.273	0.505	-2.371	0.618
10242.5	10.158	93.793	0.439	2.273	0.507	-2.124	0.621
10242.75	10.159	93.898	0.439	2.273	0.509	-1.796	0.623
10243	10.159	94.369	0.44	2.273	0.51	-1.437	0.623
10243.25	10.159	95.07	0.441	2.273	0.511	-1.102	0.622
10243.5	10.159	95.821	0.442	2.273	0.511	-0.838	0.62
10243.75	10.158	96.319	0.442	2.274	0.511	-0.679	0.618
10244	10.157	96.391	0.442	2.274	0.511	-0.631	0.616
10244.25	10.155	96.069	0.441	2.276	0.51	-0.668	0.614
10244.5	10.154	95.441	0.439	2.277	0.508	-0.752	0.611
10244.75	10.152	94.696	0.436	2.28	0.506	-0.841	0.607
10245	10.149	94.146	0.433	2.282	0.504	-0.914	0.602
10245.25	10.148	94.094	0.43	2.285	0.503	-0.978	0.597
10245.5	10.147	94.558	0.428	2.287	0.501	-1.057	0.594
10245.75	10.148	95.28	0.427	2.29	0.501	-1.181	0.591
10246	10.149	95.885	0.426	2.292	0.501	-1.369	0.591
10246.25	10.15	96.024	0.425	2.294	0.502	-1.643	0.59
10246.5	10.15	95.589	0.425	2.295	0.504	-2.042	0.588
10246.75	10.146	94.764	0.425	2.296	0.507	-2.647	0.585
10247	10.141	93.814	0.424	2.297	0.51	-3.558	0.581
10247.25	10.135	92.849	0.422	2.297	0.513	-4.844	0.577
10247.5	10.13	91.763	0.415	2.297	0.517	-6.491	0.576
10247.75	10.127	90.331	0.405	2.297	0.52	-8.374	0.578
10248	10.127	88.539	0.393	2.298	0.523	-10.294	0.585
10248.25	10.132	86.639	0.382	2.298	0.526	-12.037	0.596
10248.5	10.139	84.993	0.374	2.299	0.529	-13.44	0.609
10248.75	10.146	83.798	0.37	2.299	0.533	-14.42	0.623
10249	10.153	83.08	0.368	2.299	0.537	-14.981	0.635
10249.25	10.156	82.606	0.367	2.298	0.541	-15.187	0.643
10249.5	10.157	82.017	0.365	2.297	0.545	-15.114	0.647
10249.75	10.158	81.187	0.367	2.297	0.549	-14.827	0.649
10250	10.163	80.331	0.371	2.296	0.552	-14.388	0.65
10250.25	10.177	79.722	0.374	2.295	0.554	-13.875	0.651
10250.5	10.201	79.619	0.375	2.295	0.555	-13.41	0.651
10250.75	10.232	80.156	0.372	2.296	0.556	-13.118	0.652
10251	10.265	81.188	0.366	2.296	0.556	-13.069	0.653
10251.25	10.294	82.392	0.36	2.298	0.555	-13.235	0.652
10251.5	10.316	83.442	0.355	2.299	0.554	-13.516	0.65
10251.75	10.332	84.16	0.352	2.301	0.553	-13.785	0.644
10252	10.345	84.469	0.35	2.303	0.551	-13.954	0.634
10252.25	10.357	84.324	0.348	2.304	0.549	-14.035	0.622
10252.5	10.367	83.751	0.346	2.305	0.546	-14.151	0.61
10252.75	10.372	82.887	0.345	2.304	0.543	-14.48	0.602
10253	10.371	81.9	0.346	2.303	0.54	-15.155	0.597
10253.25	10.365	80.952	0.347	2.301	0.536	-16.189	0.596
10253.5	10.356	80.14	0.348	2.299	0.533	-17.48	0.596
10253.75	10.346	79.674	0.348	2.296	0.53	-18.865	0.595
10254	10.337	79.697	0.348	2.292	0.527	-20.178	0.593
10254.25	10.329	80.097	0.349	2.289	0.525	-21.289	0.59
10254.5	10.323	80.559	0.351	2.286	0.523	-22.133	0.587
10254.75	10.319	80.83	0.354	2.283	0.522	-22.684	0.587
10255	10.321	80.887	0.358	2.281	0.521	-22.914	0.59
10255.25	10.33	80.807	0.362	2.28	0.52	-22.774	0.596
10255.5	10.347	80.644	0.365	2.279	0.52	-22.242	0.603
10255.75	10.369	80.566	0.366	2.279	0.52	-21.372	0.609
10256	10.392	80.79	0.366	2.28	0.52	-20.308	0.613
10256.25	10.413	81.378	0.364	2.282	0.521	-19.241	0.616
10256.5	10.433	82.145	0.361	2.283	0.522	-18.331	0.617
10256.75	10.456	82.836	0.359	2.285	0.524	-17.652	0.617
10257	10.484	83.335	0.358	2.287	0.525	-17.173	0.618
10257.25	10.516	83.68	0.357	2.288	0.527	-16.79	0.62
10257.5	10.55	83.992	0.358	2.29	0.528	-16.385	0.623
10257.75	10.579	84.33	0.359	2.289	0.53	-15.889	0.624
10258	10.603	84.632	0.362	2.288	0.532	-15.302	0.623
10258.25	10.626	84.847	0.365	2.285	0.533	-14.646	0.618
10258.5	10.658	85.012	0.371	2.283	0.534	-13.912	0.609
10258.75	10.707	85.23	0.378	2.278	0.536	-13.064	0.599
10259	10.777	85.677	0.387	2.274	0.537	-12.068	0.588
10259.25	10.858	86.495	0.397	2.27	0.538	-10.939	0.581
10259.5	10.931	87.605	0.406	2.265	0.539	-9.776	0.576
10259.75	10.98	88.73	0.416	2.262	0.54	-8.735	0.575
10260	10.995	89.591	0.424	2.258	0.54	-7.954	0.576
10260.25	10.979	90.051	0.43	2.257	0.54	-7.478	0.577
10260.5	10.944	90.229	0.435	2.255	0.539	-7.242	0.579
10260.75	10.903	90.386	0.437	2.255	0.538	-7.1	0.581
10261	10.873	90.619	0.436	2.255	0.537	-6.919	0.582
10261.25	10.863	90.823	0.434	2.257	0.535	-6.646	0.585
10261.5	10.88	90.858	0.43	2.258	0.532	-6.302	0.587
10261.75	10.921	90.737	0.425	2.261	0.53	-5.951	0.589
10262	10.975	90.521	0.418	2.263	0.527	-5.673	0.589
10262.25	11.026	90.277	0.411	2.265	0.525	-5.546	0.587
10262.5	11.06	90.002	0.404	2.267	0.523	-5.666	0.583
10262.75	11.069	89.653	0.397	2.27	0.522	-6.163	0.576
10263	11.047	89.102	0.391	2.272	0.52	-7.155	0.569
10263.25	10.998	88.323	0.385	2.274	0.519	-8.663	0.563
10263.5	10.927	87.367	0.378	2.277	0.518	-10.571	0.561
10263.75	10.84	86.361	0.371	2.281	0.516	-12.649	0.562
10264	10.746	85.436	0.364	2.284	0.514	-14.625	0.568
10264.25	10.652	84.69	0.356	2.289	0.513	-16.269	0.576
10264.5	10.569	84.189	0.35	2.294	0.512	-17.457	0.586
10264.75	10.503	83.938	0.346	2.301	0.511	-18.178	0.594
10265	10.458	83.828	0.344	2.307	0.511	-18.503	0.601
10265.25	10.436	83.785	0.342	2.314	0.512	-18.53	0.604
10265.5	10.436	83.779	0.339	2.321	0.514	-18.333	0.606
10265.75	10.466	83.834	0.335	2.327	0.516	-17.961	0.607
10266	10.533	83.91	0.331	2.333	0.518	-17.449	0.608
10266.25	10.64	83.911	0.328	2.337	0.52	-16.816	0.61
10266.5	10.788	83.785	0.327	2.34	0.523	-16.082	0.614
10266.75	10.96	83.555	0.327	2.341	0.526	-15.269	0.618
10267	11.129	83.293	0.33	2.341	0.53	-14.406	0.624
10267.25	11.262	83.127	0.334	2.337	0.534	-13.531	0.631
10267.5	11.339	83.166	0.341	2.333	0.538	-12.682	0.637
10267.75	11.356	83.49	0.353	2.327	0.543	-11.894	0.643
10268	11.321	84.016	0.368	2.321	0.548	-11.193	0.648
10268.25	11.251	84.591	0.382	2.313	0.553	-10.585	0.649
10268.5	11.161	85.175	0.385	2.306	0.558	-10.054	0.648
10268.75	11.06	85.822	0.38	2.3	0.562	-9.58	0.643
10269	10.956	86.544	0.373	2.294	0.566	-9.163	0.638
10269.25	10.854	87.244	0.371	2.29	0.569	-8.815	0.631
10269.5	10.764	87.745	0.377	2.286	0.571	-8.554	0.626
10269.75	10.696	87.919	0.388	2.286	0.573	-8.395	0.621
10270	10.657	87.722	0.393	2.285	0.575	-8.335	0.618
10270.25	10.653	87.324	0.395	2.286	0.576	-8.328	0.617
10270.5	10.693	86.915	0.394	2.288	0.577	-8.296	0.618
10270.75	10.782	86.703	0.393	2.29	0.578	-8.157	0.62
10271	10.907	86.909	0.393	2.293	0.58	-7.875	0.622
10271.25	11.037	87.537	0.392	2.296	0.581	-7.476	0.626
10271.5	11.132	88.315	0.389	2.298	0.583	-7.032	0.631
10271.75	11.163	88.858	0.384	2.3	0.585	-6.605	0.636
10272	11.126	88.886	0.38	2.302	0.587	-6.225	0.642
10272.25	11.042	88.512	0.378	2.302	0.589	-5.884	0.647
10272.5	10.946	88.201	0.379	2.302	0.592	-5.547	0.652
10272.75	10.868	88.568	0.383	2.301	0.595	-5.186	0.656
10273	10.823	89.879	0.388	2.299	0.598	-4.799	0.66
10273.25	10.802	91.789	0.392	2.296	0.601	-4.417	0.663
10273.5	10.793	93.519	0.396	2.293	0.604	-4.071	0.665
10273.75	10.784	94.314	0.401	2.289	0.606	-3.778	0.665
10274	10.776	93.923	0.406	2.284	0.607	-3.529	0.664
10274.25	10.771	92.779	0.411	2.279	0.608	-3.301	0.661
10274.5	10.771	91.782	0.415	2.275	0.609	-3.08	0.656
10274.75	10.781	91.628	0.418	2.27	0.609	-2.865	0.649
10275	10.802	92.444	0.42	2.266	0.608	-2.664	0.642
10275.25	10.837	93.798	0.423	2.264	0.606	-2.473	0.634
10275.5	10.884	95.116	0.425	2.261	0.604	-2.288	0.625
10275.75	10.937	96.016	0.428	2.259	0.601	-2.116	0.616
10276	10.982	96.46	0.431	2.258	0.598	-1.977	0.607
10276.25	11.002	96.59	0.434	2.258	0.595	-1.893	0.599
10276.5	10.986	96.547	0.436	2.258	0.591	-1.878	0.595
10276.75	10.928	96.478	0.437	2.259	0.587	-1.925	0.593
10277	10.836	96.571	0.437	2.259	0.582	-2.006	0.593
10277.25	10.721	96.758	0.437	2.26	0.578	-2.081	0.593
10277.5	10.598	96.848	0.436	2.26	0.573	-2.116	0.593
10277.75	10.477	96.716	0.435	2.261	0.569	-2.103	0.592
10278	10.367	96.263	0.434	2.261	0.566	-2.061	0.589
10278.25	10.273	95.439	0.435	2.261	0.563	-2.02	0.587
10278.5	10.198	94.389	0.436	2.261	0.56	-2.001	0.587
10278.75	10.145	93.469	0.438	2.261	0.557	-2.008	0.589
10279	10.112	93.076	0.44	2.262	0.555	-2.019	0.591
10279.25	10.097	93.432	0.442	2.262	0.553	-2.003	0.594
10279.5	10.091	94.511	0.443	2.262	0.551	-1.935	0.595
10279.75	10.09	96.015	0.445	2.262	0.551	-1.815	0.594
10280	10.09	97.572	0.45	2.262	0.55	-1.668	0.589
10280.25	10.089	98.899	0.456	2.261	0.55	-1.535	0.582
10280.5	10.086	99.756	0.463	2.261	0.55	-1.458	0.573
10280.75	10.082	99.928	0.468	2.26	0.551	-1.458	0.564
10281	10.078	99.363	0.472	2.259	0.551	-1.529	0.557
10281.25	10.075	98.174	0.475	2.258	0.552	-1.644	0.554
10281.5	10.073	96.677	0.475	2.257	0.553	-1.777	0.554
10281.75	10.071	95.357	0.475	2.255	0.554	-1.915	0.556
10282	10.069	94.65	0.474	2.254	0.555	-2.059	0.56
10282.25	10.066	94.666	0.473	2.252	0.556	-2.205	0.564
10282.5	10.06	95.314	0.473	2.251	0.557	-2.351	0.567
10282.75	10.052	96.321	0.474	2.251	0.557	-2.5	0.571
10283	10.043	97.237	0.475	2.25	0.558	-2.666	0.573
10283.25	10.033	97.663	0.476	2.25	0.558	-2.871	0.576
10283.5	10.025	97.46	0.478	2.25	0.558	-3.124	0.578
10283.75	10.018	96.73	0.479	2.251	0.559	-3.423	0.579
10284	10.015	95.612	0.479	2.253	0.56	-3.745	0.579
10284.25	10.014	94.327	0.477	2.254	0.56	-4.054	0.579
10284.5	10.015	93.215	0.475	2.256	0.561	-4.299	0.578
10284.75	10.019	92.532	0.473	2.258	0.562	-4.437	0.576
10285	10.026	92.408	0.47	2.26	0.564	-4.45	0.573
10285.25	10.033	92.721	0.467	2.262	0.565	-4.35	0.569
10285.5	10.042	93.225	0.464	2.264	0.566	-4.171	0.566
10285.75	10.05	93.766	0.462	2.265	0.568	-3.97	0.563
10286	10.059	94.259	0.46	2.267	0.57	-3.82	0.561
10286.25	10.067	94.689	0.459	2.268	0.572	-3.786	0.561
10286.5	10.075	95.14	0.458	2.269	0.574	-3.907	0.563
10286.75	10.083	95.762	0.456	2.269	0.577	-4.183	0.566
10287	10.09	96.586	0.454	2.27	0.58	-4.568	0.569
10287.25	10.096	97.499	0.452	2.27	0.583	-4.97	0.573
10287.5	10.1	98.383	0.45	2.271	0.587	-5.269	0.575
10287.75	10.103	99.073	0.449	2.271	0.59	-5.357	0.576
10288	10.103	99.381	0.448	2.271	0.592	-5.187	0.577
10288.25	10.102	99.182	0.448	2.27	0.595	-4.798	0.578
10288.5	10.099	98.528	0.448	2.27	0.597	-4.302	0.58
10288.75	10.097	97.723	0.448	2.27	0.599	-3.829	0.582
10289	10.096	97.03	0.447	2.27	0.601	-3.486	0.584
10289.25	10.096	96.491	0.446	2.271	0.602	-3.316	0.584
10289.5	10.099	96.096	0.444	2.271	0.603	-3.3	0.582
10289.75	10.102	95.973	0.442	2.273	0.604	-3.395	0.579
10290	10.106	96.273	0.44	2.274	0.604	-3.569	0.576
10290.25	10.109	97.013	0.437	2.276	0.604	-3.808	0.575
10290.5	10.111	98.008	0.433	2.278	0.603	-4.096	0.576
10290.75	10.112	98.833	0.427	2.28	0.602	-4.403	0.579
10291	10.113	99.119	0.422	2.282	0.601	-4.683	0.584
10291.25	10.115	98.771	0.417	2.284	0.601	-4.9	0.588
10291.5	10.118	97.862	0.414	2.285	0.6	-5.032	0.59
10291.75	10.124	96.735	0.414	2.286	0.6	-5.077	0.589
10292	10.134	95.895	0.415	2.286	0.599	-5.049	0.586
10292.25	10.146	95.569	0.415	2.286	0.599	-4.962	0.581
10292.5	10.16	95.615	0.413	2.286	0.6	-4.823	0.578
10292.75	10.175	95.815	0.409	2.286	0.6	-4.645	0.577
10293	10.188	96.072	0.405	2.285	0.6	-4.447	0.578
10293.25	10.199	96.319	0.402	2.285	0.601	-4.262	0.581
10293.5	10.207	96.534	0.399	2.284	0.601	-4.127	0.585
10293.75	10.214	96.638	0.399	2.284	0.602	-4.061	0.59
10294	10.219	96.513	0.398	2.284	0.602	-4.052	0.595
10294.25	10.223	96.252	0.398	2.285	0.604	-4.071	0.598
10294.5	10.228	96.01	0.397	2.285	0.605	-4.07	0.601
10294.75	10.232	95.709	0.397	2.286	0.607	-3.993	0.603
10295	10.235	95.228	0.398	2.287	0.609	-3.796	0.604
10295.25	10.238	94.608	0.399	2.288	0.61	-3.472	0.605
10295.5	10.239	94.05	0.4	2.288	0.611	-3.05	0.606
10295.75	10.239	93.828	0.4	2.289	0.613	-2.594	0.607
10296	10.237	94.202	0.4	2.29	0.614	-2.184	0.608
10296.25	10.234	95.205	0.399	2.29	0.616	-1.903	0.609
10296.5	10.229	96.46	0.399	2.291	0.618	-1.825	0.609
10296.75	10.224	97.509	0.398	2.292	0.621	-1.987	0.607
10297	10.219	97.962	0.397	2.293	0.624	-2.356	0.606
10297.25	10.215	97.64	0.397	2.294	0.627	-2.818	0.605
10297.5	10.212	96.818	0.396	2.296	0.63	-3.22	0.607
10297.75	10.21	96.065	0.396	2.298	0.633	-3.417	0.612
10298	10.209	95.779	0.397	2.301	0.636	-3.327	0.62
10298.25	10.207	96.106	0.399	2.305	0.638	-2.963	0.629
10298.5	10.207	96.898	0.403	2.308	0.64	-2.427	0.635
10298.75	10.207	97.754	0.406	2.314	0.642	-1.863	0.635
10299	10.208	98.211	0.41	2.319	0.645	-1.407	0.63
10299.25	10.209	97.96	0.413	2.324	0.648	-1.144	0.62
10299.5	10.211	97.025	0.415	2.329	0.651	-1.087	0.611
10299.75	10.215	95.648	0.416	2.333	0.654	-1.192	0.606
10300	10.222	94.338	0.416	2.337	0.657	-1.379	0.607
10300.25	10.233	93.543	0.416	2.337	0.659	-1.553	0.617
10300.5	10.248	93.394	0.416	2.338	0.661	-1.636	0.631
10300.75	10.265	93.802	0.414	2.335	0.663	-1.593	0.647
10301	10.282	94.54	0.414	2.332	0.664	-1.444	0.659
10301.25	10.294	95.404	0.416	2.327	0.665	-1.233	0.662
10301.5	10.301	96.382	0.42	2.321	0.667	-1.008	0.656
10301.75	10.304	97.449	0.426	2.315	0.668	-0.799	0.646
10302	10.306	98.556	0.432	2.309	0.668	-0.613	0.634
10302.25	10.309	99.385	0.436	2.305	0.667	-0.433	0.625
10302.5	10.314	99.571	0.439	2.3	0.665	-0.239	0.62
10302.75	10.32	99.005	0.44	2.297	0.662	-0.02	0.618
10303	10.327	97.855	0.44	2.295	0.659	0.214	0.619
10303.25	10.333	96.55	0.441	2.294	0.656	0.434	0.623
10303.5	10.338	95.518	0.442	2.293	0.653	0.604	0.629
10303.75	10.344	94.94	0.443	2.294	0.651	0.705	0.637
10304	10.352	94.72	0.441	2.294	0.65	0.75	0.645
10304.25	10.363	94.665	0.439	2.295	0.648	0.777	0.652
10304.5	10.376	94.753	0.437	2.295	0.647	0.828	0.656
10304.75	10.39	95.092	0.435	2.296	0.646	0.91	0.656
10305	10.404	95.764	0.433	2.296	0.646	0.984	0.655
10305.25	10.417	96.736	0.433	2.296	0.645	0.99	0.654
10305.5	10.428	97.687	0.433	2.297	0.644	0.902	0.653
10305.75	10.436	98.217	0.432	2.297	0.644	0.729	0.654
10306	10.442	98.156	0.43	2.297	0.644	0.489	0.656
10306.25	10.446	97.69	0.428	2.298	0.643	0.184	0.661
10306.5	10.448	97.145	0.427	2.298	0.643	-0.207	0.669
10306.75	10.448	96.872	0.427	2.299	0.642	-0.7	0.679
10307	10.448	96.946	0.427	2.3	0.64	-1.253	0.688
10307.25	10.45	97.179	0.429	2.302	0.639	-1.752	0.694
10307.5	10.453	97.385	0.432	2.303	0.638	-2.052	0.695
10307.75	10.457	97.522	0.434	2.305	0.637	-2.049	0.692
10308	10.458	97.58	0.437	2.307	0.636	-1.738	0.688
